halt_id,halt_diva,halt_kurz,halt_lang,halt_ist_aktiv
143,2570,BirWSL,"Birmensdorf ZH, Sternen/WSL",True
309,3356,WalBir,"Waldegg, Birmensdorferstrasse",True
373,6232,FRAF07,"Zürich Flughafen, Fracht",True
539,2655,TBAH01,"Thalwil, Bahnhof",True
588,3027,FLUG07,"Zürich Flughafen, Bahnhof",True
623,2989,TZEN01,"Thalwil, Zentrum",True
701,1012,GOLP,"Zürich, Goldbrunnenplatz",True
729,687,UitDor,"Uitikon, Dorf",True
747,2748,BirUnt,"Birmensdorf ZH, Untere Risi",True
751,2758,UNTR07,"Glattbrugg, Unterriet",True
809,501,BirBah,"Birmensdorf ZH, Bahnhof",True
832,1401,KILB,"Kilchberg ZH, Kirche",True
833,3254,HALL,"Kilchberg ZH, Hallenbad",True
891,1991,WalPos,"Waldegg, Post",True
914,2412,FELD01,"Thalwil, Feldstrasse",True
1005,2333,THSH01,"Thalwil, Schützenhaus",True
1010,2160,SCHA,"Zürich, Schaufelbergerstrasse",True
1067,992,GLAG07,"Glattbrugg, Zentrum",True
1114,1627,MEHO07,"Dübendorf, Meiershofstrasse",True
1259,1391,BKIL,"Kilchberg ZH, Bahnhof",True
1270,2680,TRIE,"Zürich, Triemli",True
1300,1684,MUBA01,"Thalwil, Mühlebachplatz",True
1305,1472,KUNS,"Zürich, Kunsthaus",True
1306,478,BEZI,"Zürich, Bezirksgebäude",True
1308,736,ETHZ,"Zürich, ETH/Universitätsspital",True
1309,564,BUCH,"Zürich, Bucheggplatz",True
1310,821,FARB,"Zürich, Farbhof",True
1311,2572,SOER,"Zürich, Sternen Oerlikon",True
1312,657,BDIE,"Dietikon, Bahnhof",True
1362,1303,IEBN,"Zürich, Im Ebnet",True
1366,2983,WGLA,"Wallisellen, Glatt (Bus)",True
1370,2986,ZREG07,"Regensdorf, Zentrum",True
1372,1228,HOFF07,"Dübendorf, Hoffnung",True
1377,6506,BABH07,"Kloten Balsberg, Bahnhof",True
1378,6507,RBAU07,"Rümlang, Bäuler",True
1379,6508,GLIN07,"Glattpark, Lindberghplatz",True
1392,3241,WFLO07,"Wallisellen, Florastrasse",True
1393,2329,SURG,"Zürich, Schürgistrasse",True
1400,3247,GHOF07,"Glattbrugg, Glatthof",True
1405,2277,SHDO,"Kilchberg ZH,Schulhaus Dorfstr",True
1406,1278,HOEL,"Zürich, Hölderlinstrasse",True
1407,1457,KREK,"Kilchberg ZH, Kreuzstrasse",True
1417,1542,RLET07,"Rümlang, Letten",True
1418,3296,NEUS07,"Dübendorf, Neugut Süd",True
1437,632,VCHL07,"Volketswil, Volkiland Chliriet",True
1443,1552,LEUT,"Zürich, Leutschenbach",True
1445,3478,CITC07,"Dübendorf, City Center",True
1449,3560,SPHE07,"D'dorf, Sportanl Heerenschürli",True
1452,994,BGLA07,"Glattbrugg, Bahnhof",True
1454,1156,HEIZ,"Zürich, Heizenholz",True
1456,6346,DSON07,"Dübendorf, Sonnental",True
1475,2422,DBRE07,"Dübendorf, Breitibach",True
1499,1710,NEUB,"Zürich, Neubühl",True
1500,2547,BLEI,"Zürich, Bahnhof Leimbach",True
1501,2294,SCHW,"Zürich, Schwamendingerplatz",True
1502,2556,STAU,"Zürich, Stauffacher",True
1503,1389,KIEN,"Zürich, Kienastenwies",True
1504,1643,MIBU,"Zürich, Milchbuck",True
1509,1577,LISP,"Kilchberg ZH, Lindt & Sprüngli",True
1510,6594,AHOR,"Adliswil, Ahornweg",True
1511,1660,MORG,"Zürich, Morgental",True
1517,2751,USNO,"Unterengstringen, Sennenbüel N",True
1518,2580,STOG,"Kilchberg ZH, Stockengut",True
1520,831,FEGG,"Urdorf, Feldegg",True
